Gate-Source Voltage(V), Drain Current(A)
0,1.020256110365602e-08
0.016,1.411472171575792e-08
0.032,1.954351657785322e-08
0.048,2.707393113261488e-08
0.064,3.751119482835521e-08
0.08,5.195716087528091e-08
0.096,7.190784568501598e-08
0.112,9.937283321487057e-08
0.128,1.370132446842405e-07
0.144,1.882879281724937e-07
0.16,2.575881646213182e-07
0.176,3.503324145729515e-07
0.1920000000000001,4.729900938348088e-07
0.2080000000000001,6.330129306130645e-07
0.2240000000000001,8.386742795511e-07
0.2400000000000001,1.098841022253587e-06
0.2560000000000001,1.422714861936916e-06
0.2720000000000001,1.819573980836718e-06
0.2880000000000001,2.29853075578761e-06
0.3040000000000002,2.868309736274275e-06
0.3200000000000002,3.537047411322325e-06
0.3360000000000002,4.31211740522981e-06
0.3520000000000002,5.199986219553446e-06
0.3680000000000002,6.206103590027335e-06
0.3840000000000002,7.334828944612895e-06
0.4000000000000002,8.589392829704182e-06
0.4160000000000003,9.971890303046479e-06
0.4320000000000003,1.14833022629074e-05
0.4480000000000003,1.312354027295538e-05
0.4640000000000003,1.489151040281675e-05
0.4800000000000003,1.67851917629109e-05
0.4960000000000003,1.880172567513688e-05
0.5120000000000003,2.093751174527488e-05
0.5280000000000004,2.318830747012335e-05
0.5440000000000004,2.554932841244518e-05
0.5600000000000004,2.801534640066702e-05
0.5760000000000004,3.058078364738634e-05
0.5920000000000004,3.323980111897839e-05
0.6080000000000004,3.598637991524238e-05
0.6240000000000004,3.881439482076522e-05
0.6400000000000005,4.171767955757373e-05
0.6560000000000005,4.469008359284395e-05
0.6720000000000005,4.772552062979212e-05
0.6880000000000005,5.081800913114295e-05
0.7040000000000005,5.396170539253072e-05
0.7200000000000005,5.715092980027511e-05
0.7360000000000005,6.038018697886149e-05
0.7520000000000006,6.364418056435553e-05
0.7680000000000006,6.693782333803078e-05
0.7840000000000006,7.025624342699135e-05
0.8,7.35947872325893e-05
